         11962693 function calls (11724789 primitive calls) in 74.513 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4489    0.010    0.000    0.010    0.000 {method 'lower' of 'str' objects}
  1788176    3.539    0.000    3.539    0.000 {method 'lower' of 'unicode' objects}
    38000    0.108    0.000    0.108    0.000 {method 'lstrip' of 'str' objects}
       32    0.001    0.000    0.001    0.000 {method 'max' of 'numpy.ndarray' objects}
       32    0.000    0.000    0.000    0.000 {method 'min' of 'numpy.ndarray' objects}
       80    0.000    0.000    0.000    0.000 {method 'newbyteorder' of 'numpy.dtype' objects}
       16    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    38144    1.426    0.000    1.426    0.000 {method 'read' of 'file' objects}
    38000    0.111    0.000    0.111    0.000 {method 'replace' of 'str' objects}
  4895808    9.610    0.000    9.610    0.000 {method 'rstrip' of 'str' objects}
       96    0.001    0.000    0.001    0.000 {method 'seek' of 'file' objects}
       32    0.002    0.000    0.002    0.000 {method 'send' of '_socket.socket' objects}
       48    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
   114256    0.968    0.000    0.968    0.000 {method 'split' of 'str' objects}
    76048    0.205    0.000    0.205    0.000 {method 'startswith' of 'str' objects}
       96    0.001    0.000    0.001    0.000 {method 'tell' of 'file' objects}
       48    0.000    0.000    0.000    0.000 {method 'tell' of 'mmap.mmap' objects}
      192    0.003    0.000    0.003    0.000 {method 'write' of 'file' objects}
    38000    0.486    0.000    0.486    0.000 {nt._getfullpathname}
    37952    2.400    0.000    2.400    0.000 {nt.stat}
      560    0.008    0.000    0.008    0.000 {numpy.core.multiarray.array}
      288    0.001    0.000    0.001    0.000 {numpy.core.multiarray.can_cast}
      112    0.001    0.000    0.001    0.000 {numpy.core.multiarray.empty}
       16    0.000    0.000    0.000    0.000 {numpy.core.multiarray.zeros}
    38304    2.779    0.000    2.779    0.000 {open}
       48    0.002    0.000    0.002    0.000 {parser.expr}
       48    0.001    0.000    0.001    0.000 {parser.st2tuple}
     1650    0.004    0.000    0.004    0.000 {range}
       32    0.001    0.000    0.001    0.000 {select.select}
    75920    3.709    0.000    3.709    0.000 {sorted}
       48    0.004    0.000    0.009    0.000 {sum}
       64    0.001    0.000    0.001    0.000 {thread.allocate_lock}
      160    0.000    0.000    0.000    0.000 {thread.get_ident}


Finished cy-stem-descMatch.csv
















         11963695 function calls (11725791 primitive calls) in 73.373 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   73.374   73.374 <string>:1(<module>)
       32    0.000    0.000    0.000    0.000 <string>:1(fileno)
       32    0.000    0.000    0.001    0.000 __init__.py:1034(debug)
       32    0.001    0.000    0.001    0.000 __init__.py:1230(getEffectiveLevel)
       32    0.000    0.000    0.001    0.000 __init__.py:1244(isEnabledFor)
    37952    0.446    0.000   11.915    0.000 api.py:184(open)
    37952    0.176    0.000    0.284    0.000 api.py:198(encoding)
       48    0.000    0.000    0.000    0.000 ast.py:1249(__init__)
